filename,ground_truth,default_output,default_cer,has_diacritics
crop_000012.jpg,"consuma ca atare pentru a obține ceai, amestecată cu miere.","CONSUMO OR DERO PERTRI O DBIBLE CEAL, AMES",52.54,True
crop_000013.jpg,din agricultura ecologică din Sri Lanka. Mod de consum: se poate,"ON BACKCLATED EXCLUDED ON SIX LAHRA, MADE OR CONSUM.",60.94,True
crop_000014.jpg,"Conține pudră de scorțișoară adevărată (CEYLON) crudă, provenită","COMPLE PRIDD DE SCARDPORTA ADVIDATED (CEY ONLY COUNDA, PR",51.56,True
crop_000018.jpg,ORGANIC RAW CINNAMON POWDER,ORGANIC RAW CINTAINON POWDER,11.11,False
crop_000040.jpg,"supravegeați când consumă acest produs, întrucât","SUPRANGEAU CONSUMA ACEST PRODUCT, MINICAT",37.5,True
crop_000041.jpg,Atenționare de siguranță: copiii mici trebuie,ATENTIONARE DE SIGNANTA: COPILL MICH USUE,28.89,True
crop_000042.jpg,"A se păstra în loc uscat, ferit de razele soarelui.","A SE PASTRA IN IOC USCAT, PERIT DE RAZCLE SARELL",17.65,True
crop_000043.jpg,COAJĂ LEMNOASĂ. Ambalate în atmosferă protectoare.,"COAJA LEMONASA, AMBALATE IN ADNOSTERA PROT",36.0,True
crop_000045.jpg,"Ingrediente: ARAHIDE (94%), sare (5%), agent","INGREDIENTE: ARAHIDE (94%), SARE (5 %), AGENT",2.27,False
crop_000046.jpg,"RO MD ARAHIDE ÎN COAJĂ ROȘIE, COAPTE ȘI SĂRATE","@ ARAHIDE IN COAJA ROSIE, COAPTE SISURATE",23.91,True
crop_000047.jpg,"de cacao, emulsifianți: lecitină din soia, E476; vanilină). Cacao - 10,0% min.","BE CACSO, EMULSTIANTI: LECITINA ON SOIA,",56.41,True
crop_000048.jpg,"masă de cacao, echivalent al untului de cacao (ulei de palmier, ulei shea), pudră","MASI DE CACAD, ECHIVALENT AL UNTULU DE CACA",49.38,True
crop_000049.jpg,"MD/RO: Ingrediente: caise uscate - 64,0% glazură de ciocolată - 36% (zahăr,","MO.RO: INGREDIENTE: CALSE USCATE - 64,0%,",49.33,True
crop_000051.jpg,www.lactofood.ro,WWW.LACTOFOOD.RO,0.0,False
